State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
New Mexico,2004,370942,,376930,5,8432,,5988,-5988,747872,756304,5,1282767
New York,2004,4314280,31,2962567,,114189,,1351713,1351713,7276847,7391036,31,12738056
North Carolina,2004,1525849,,1961166,15,13992,,435317,-435317,3487015,3501007,15,6055771
North Dakota,2004,111052,,196651,3,5130,,85599,-85599,307703,312833,3,482722
Ohio,2004,2741167,,2859768,20,26973,,118601,-118601,5600935,5627908,20,8427696
Oklahoma,2004,503966,,959792,7,0,,455826,-455826,1463758,1463758,7,2510823
Oregon,2004,943163,7,866831,,26788,,76332,76332,1809994,1836782,7,2550887
Pennsylvania,2004,2938095,21,2793847,,37648,,144248,144248,5731942,5769590,21,9221962
Rhode Island,2004,259765,4,169046,,8323,,90719,90719,428811,437134,4,747046
South Carolina,2004,661699,,937974,8,18057,,276275,-276275,1599673,1617730,8,3055098
South Dakota,2004,149244,,232584,3,6387,,83340,-83340,381828,388215,3,569161
Tennessee,2004,1036477,,1384375,11,16467,,347898,-347898,2420852,2437319,11,4328446
Texas,2004,2832704,,4526917,34,51144,,1694213,-1694213,7359621,7410765,34,13796256
Utah,2004,241199,,663742,5,22903,,422543,-422543,904941,927844,5,1574463
Vermont,2004,184067,3,121180,,7062,,62887,62887,305247,312309,3,470754
Virginia,2004,1454742,,1716959,13,26666,,262217,-262217,3171701,3198367,13,5277156
Washington,2004,1510201,11,1304894,,43989,,205307,205307,2815095,2859084,11,4272914
West Virginia,2004,326541,,423778,5,5568,,97237,-97237,750319,755887,5,1396545
Wisconsin,2004,1489504,10,1478120,,29383,,11384,11384,2967624,2997007,10,4006948
Wyoming,2004,70776,,167629,3,5023,,96853,-96853,238405,243428,3,370785
Alabama,2000,692611,,941173,9,32488,,248562,-248562,1633784,1666272,9,3241682
Alaska,2000,79004,,167398,3,39158,,88394,-88394,246402,285560,3,419111
Arizona,2000,685341,,781652,8,65023,,96311,-96311,1466993,1532016,8,3357701
Arkansas,2000,422768,,472940,6,26073,,50172,-50172,895708,921781,6,1925961
California,2000,5861203,54,4567429,,537224,,1293774,1293774,10428632,10965856,54,19685258
Colorado,2000,738227,,883748,8,119393,,145521,-145521,1621975,1741368,8,3026316
Connecticut,2000,816015,8,561094,,82416,,254921,254921,1377109,1459525,8,2357687
Delaware,2000,180068,3,137288,,10266,,42780,42780,317356,327622,3,554863
District of Columbia,2000,171923,3,18073,,11898,,153850,153850,189996,201894,3,416696
Florida,2000,2912253,,2912790,25,138067,,537,-537,5825043,5963110,25,10667193
Georgia,2000,1116230,,1419720,13,60854,,303490,-303490,2535950,2596804,13,5639668
Hawaii,2000,205286,4,137845,,24820,,67441,67441,343131,367951,4,832642
Idaho,2000,138637,,336937,4,26047,,198300,-198300,475574,501621,4,877406
